Topology,DemandFile,Exit code,Total  time,pre-uMax,post-uMax
DialtelecomCz,0003,0,881.502273652,1.41876075,0.89921575
DialtelecomCz,0004,1,1807.033636567,1.3284085,1.3284085
Digex,0000,0,1.02046281,0.9579333333333333,0.8989555555555555
Digex,0001,0,0.686719172,0.9968888888888889,0.8988
Digex,0002,0,1.11176098,0.9690666666666666,0.8989111111111111
Digex,0003,0,0.975813959,0.9739259259259259,0.8988
Digex,0004,0,1.172959276,1.0659685185185184,0.8988277777777778
Easynet,0000,0,0.337313801,1.34183,0.900018
Easynet,0001,0,0.248049683,1.3828288333333332,0.9000065
Easynet,0002,0,0.225816422,1.217687,0.9000555
Easynet,0003,0,0.225927378,1.238191,0.900009
Easynet,0004,0,0.321136258,1.628575,0.90005
Eenet,0000,0,0.110541985,0.9539915,0.9539915
Eenet,0001,0,0.055295678,0.9539885,0.9539885
Eenet,0002,0,0.053029568,0.953989,0.953989
Eenet,0003,0,0.052421286,0.95399,0.95399
Eenet,0004,0,0.052904211,0.953991,0.953991
EliBackbone,0000,0,0.652157001,1.7986420833333334,0.90004725
EliBackbone,0001,0,0.480444152,1.4737325416666665,0.900027
EliBackbone,0002,0,1.132252159,1.41634225,0.9000708333333333
EliBackbone,0003,0,1.776165963,1.5861733333333334,0.9000745
EliBackbone,0004,0,0.392430728,1.4460605833333333,0.9000605
Epoch,0000,0,0.040362307,1.2871777777777778,0.9926666666666667
Epoch,0001,0,0.103110159,0.9052777777777777,0.9000333333333334
Epoch,0002,0,0.627664744,1.1331222222222221,0.9000888888888889
Epoch,0003,0,0.110366252,1.369488888888889,0.9000555555555556
Epoch,0004,0,0.573759679,0.9845222222222222,0.9001888888888889
Ernet,0000,0,0.438920091,1.0134315,0.8999745
Ernet,0001,0,0.996506582,1.408024,0.899946
Ernet,0002,0,0.51755213,1.089705,0.899949
Ernet,0003,0,0.64313918,1.1161025,0.899947
Ernet,0004,0,0.724485844,1.2797685,0.899949
Esnet,0000,0,33.362629552,1.6685343,0.8999883683159103
Esnet,0001,0,37.690333751,1.4357969058056954,0.8999968
Esnet,0002,0,34.576684273,1.4256552,0.9000091603967652
Esnet,0003,0,20.598191892,1.4453048,0.9000409
Esnet,0004,0,39.04199403,1.4655845913334329,0.9000476
Eunetworks,0000,0,0.120605534,1.278655,0.900043
Eunetworks,0001,0,0.11700865,1.2534535,0.9000641666666668
Eunetworks,0002,0,0.310522575,1.2335793333333336,0.9000308333333333
Eunetworks,0003,0,0.167305948,0.919964,0.9000515
Eunetworks,0004,0,0.14080923,0.9296173333333334,0.9000616666666666
Evolink,0000,0,1.027372637,1.152552,0.899939
Evolink,0001,0,1.603315197,1.2844975,0.8999275
Evolink,0002,0,1.490232844,1.188336,0.89995725
Evolink,0003,0,1.267174594,1.09149875,0.8999975
Evolink,0004,0,1.638267471,1.36948475,0.89997475
Fatman,0000,0,0.082171037,0.899978,0.899978
Fatman,0001,0,0.077034764,0.899977,0.899977
Fatman,0002,0,0.092672358,0.899971,0.899971
Fatman,0003,0,0.076712691,0.899973,0.899973
Fatman,0004,0,0.08722121,0.899973,0.899973
Fccn,0000,0,0.255151932,1.528796,0.899989
Fccn,0001,0,0.174239298,1.134371,0.899969
Fccn,0002,0,0.190660493,1.617752,0.900054
Fccn,0003,0,0.324090793,1.685166,0.900002
Fccn,0004,0,0.322164932,1.728403,0.89998
Forthnet,0000,0,2.272847837,0.8999888888888888,0.8999888888888888
Forthnet,0001,0,3.053503712,1.1628976666666666,0.8999883888888889
Forthnet,0002,0,3.092748376,1.3580978888888888,0.8999891111111111
Forthnet,0003,0,2.449327988,1.3455797777777778,0.8999876111111111
Forthnet,0004,0,4.031956064,1.5063600555555556,0.8999896111111111
Funet,0000,0,0.592420586,1.076614,0.8999835
Funet,0001,0,0.712178199,1.2143715,0.900001
Funet,0002,0,0.803885465,1.2347105,0.899978
Funet,0003,0,0.535009059,1.214491,0.899961
Funet,0004,0,0.885975953,1.1610345,0.9000095
Gambia,0000,0,0.28692285,0.89968,0.89968
Gambia,0001,0,0.196393298,0.89965,0.89965
Gambia,0002,0,0.219304829,0.89968,0.89968
Gambia,0003,0,0.20123608,0.899655,0.899655
Gambia,0004,0,0.229466181,0.89966,0.89966
Garr199901,0000,0,0.429914568,1.098765,0.900039
Garr199901,0001,0,0.514570635,1.038377,0.90006
Garr199901,0002,0,0.979518783,1.199841,0.900069
Garr199901,0003,0,0.34155955,1.273288,0.900056
Garr199901,0004,0,0.55454286,1.191545,0.90005
Garr199904,0000,0,0.685677723,1.105567741935484,0.8999354838709678
Garr199904,0001,0,1.393875061,1.0774903225806451,0.8999225806451613
Garr199904,0002,0,0.896497171,1.1078064516129031,0.8999290322580645
Garr199904,0003,0,0.501016224,1.0251935483870969,0.8999935483870968
Garr199904,0004,0,0.519072418,1.4260709677419354,0.8999806451612903
Garr199905,0000,0,3.784753053,1.0625806451612902,0.8999741935483871
Garr199905,0001,0,0.563796966,0.9556258064516129,0.8999419354838709
Garr199905,0002,0,0.459599001,1.042516129032258,0.8999741935483871
Garr199905,0003,0,6.871945329,1.2415935483870968,0.8999806451612903
Garr199905,0004,0,0.636027059,1.1750645161290323,0.8999612903225807
Garr200109,0000,0,0.391387336,1.0787806451612902,0.8999483870967742
Garr200109,0001,0,0.427747521,1.297109677419355,0.8999096774193548
Garr200109,0002,0,0.717249274,1.143316129032258,0.8999935483870968
Garr200109,0003,0,0.553021256,1.1694774193548387,0.8999612903225807
Garr200109,0004,0,0.343765387,1.1910387096774193,0.8999483870967742
Garr200112,0000,0,0.523149679,1.0653741935483871,0.8999096774193548
