Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
Cesnet201006,0002,1.904,11.584,2.2279999999999998,12.309999999999999,0.9000454460582127,0.9000555579015598
Cesnet201006,0003,2.074,11.618,2.3979999999999997,12.344000000000001,0.9000023064330316,0.900129414635776
Cesnet201006,0004,3.008,16.56,3.332,17.285999999999998,0.9000452128710494,0.9000067157902985
Chinanet,0000,6.278,114.769,6.438,117.7,0.90002725,0.899991375
Chinanet,0001,14.604,205.989,14.764,208.92000000000002,1.00850825,1.0084753333333332
Chinanet,0002,14.603,220.164,14.763,223.095,0.899986625,0.9000025
Chinanet,0003,11.539,137.968,11.699,140.899,0.9000716666666666,0.9000480833333333
Chinanet,0004,10.681,778.693,10.841,781.624,0.954757875,0.9526525
Claranet,0000,0.222,0.484,0.256,0.523,0.900054,0.900073
Claranet,0001,0.115,0.329,0.14900000000000002,0.368,0.8999865,0.9000145
Claranet,0002,0.182,0.6,0.216,0.639,0.9000285,0.900069
Claranet,0003,0.137,0.451,0.171,0.49,0.9000345,0.9000555
Claranet,0004,0.123,0.289,0.157,0.32799999999999996,0.9000075,0.89999
Cogentco,0000,465.852,-,489.974,-,0.898534,-
Cogentco,0001,525.348,-,549.4699999999999,-,0.8986913090277779,-
Cogentco,0002,494.164,-,518.286,-,0.8987625034722222,-
Cogentco,0003,577.646,-,601.7679999999999,-,0.899141420138889,-
Cogentco,0004,572.104,-,596.226,-,0.8991164756944446,-
Colt,0000,103.861,1851.162,109.762,2060.847,0.8986698333333333,0.8988279999999998
Colt,0001,112.933,1869.957,118.834,2079.6420000000003,0.898636,2.218322500000001
Colt,0002,120.357,1872.615,126.258,2082.3,0.8988258333333331,2.3367110000000366
Colt,0003,100.313,1750.748,106.214,1960.433,0.8986901666666667,0.8987125
Colt,0004,106.017,1861.353,111.91799999999999,2071.038,0.8986265,0.8989055833333333
Columbus,0000,9.208,259.857,9.734,271.749,0.8997385,0.8997353333333333
Columbus,0001,8.297,167.964,8.823,179.856,0.899731,0.899731
Columbus,0002,8.99,197.22,9.516,209.112,0.8997325,0.8998035833333332
Columbus,0003,8.571,247.224,9.097,259.116,0.89974,0.8997705
Columbus,0004,9.556,169.311,10.081999999999999,181.203,0.8997398333333333,0.899726
Compuserve,0000,1.536,0.602,1.564,0.65,0.8998944444444444,0.8999555555555556
Compuserve,0001,0.841,1.967,0.869,2.015,0.8999333333333334,0.8998888888888888
Compuserve,0002,4.597,9.779,4.625,9.827,0.9000888888888889,0.9000666666666667
Compuserve,0003,0.254,1.144,0.28200000000000003,1.192,0.8999111111111111,0.8999555555555555
Compuserve,0004,1.101,1.045,1.129,1.093,0.8999111111111111,0.8999166666666667
CrlNetworkServices,0000,0.776,2.712,0.868,2.97,0.8991222222222223,0.8991333333333333
CrlNetworkServices,0001,0.708,3.202,0.7999999999999999,3.46,0.8986666666666666,0.8986888888888889
CrlNetworkServices,0002,0.778,2.549,0.87,2.807,0.8986555555555555,0.8986444444444445
CrlNetworkServices,0003,0.769,4.024,0.861,4.282,0.8986111111111111,0.8985888888888889
CrlNetworkServices,0004,0.778,4.009,0.87,4.267,0.8986888888888886,0.8987333333333333
Cudi,0000,0.155,0.19,0.271,0.327,0.8998870833333333,0.8998870833333332
Cudi,0001,0.169,0.221,0.28500000000000003,0.358,0.8999529166666667,0.8999529166666667
Cudi,0002,0.163,0.191,0.279,0.328,0.8998883333333333,0.8998883333333332
Cudi,0003,0.166,0.174,0.28200000000000003,0.311,0.8998845833333333,0.8998845833333333
Cudi,0004,0.16,0.187,0.276,0.324,0.8998883333333334,0.8998883333333334
Cwix,0000,0.683,5.691,0.765,5.9639999999999995,0.8988222222222223,0.8988259259259257
Cwix,0001,1.181,4.597,1.2630000000000001,4.87,0.8989222222222222,0.8989555555555555
Cwix,0002,0.623,3.694,0.705,3.967,0.898937037037037,0.8989111111111111
Cwix,0003,0.639,5.402,0.721,5.675,0.8988444444444444,0.898811111111111
Cwix,0004,0.897,5.601,0.979,5.874,0.898959259259259,0.8989518518518516
Cynet,0000,0.074,0.075,0.128,0.136,0.8994971804511278,0.8994971804511278
